Bairro,Casos
Aeroporto,279
Alpes,1123
Antares,1242
Bandeirantes,987
Bela Suíça,81
Brasília,807
Cafezal,1488
Califórnia,1278
Centro Histórico,3671
Champagnat,766
Cidade Industrial 1,3
Cidade Industrial 2,285
Cilo 2,257
Cilo 3,108
Cinco Conjuntos,4212
Coliseu,917
Ernani,1056
Esperança,462
Fraternidade,638
Guanabara,1457
Heimtal,85
Higienópolis,374
H.U.,572
Ideal,629
Indústrias Leves,207
Inglaterra,1115
Interlagos,1303
Ipiranga,525
Jamaica,1106
Leonor,2511
Lindóia,1355
Lon Rita,688
Olímpico,730
Ouro Verde,1811
Pacaembú,1132
Palhano,3036
Parigot de Souza,2403
Parque das Indústrias,1653
Perobinha,587
Petrópolis,578
Piza,1294
Presidente,633
Quebec,541
Sabará,545
Saltinho,490
Shangri-lá,645
Tucanos,811
União da Vitória,824
Universidade,782
Vila Brasil,827
Vila Casoni,656
Vila Nova,707
Vila Recreio,601
Vivendas do Arvoredo,835
Vivi Xavier,2799
